spnum,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
140,1.7,1.575,0.775,1.55,1.825,1.45,3.275,4.6,2.45,1.9,1.775,2.925,2.05,1.05,0.7,0.95,1.825,1.7
143,,,,,,,,,,,,,,,,,,0.05
145,0.025,0.025,0.025,0.15,0.025,,,,,,,,,,,,,
147,,,,,,,,0.025,,,,,,,,,,
150,0.075,,,,,,,,,,,,,,,,,
152,0.05,0.05,0.075,0.125,0.1,0.1,0.225,0.1,0.075,0.075,0.25,0.125,0.1,0.1,0.05,0.1,0.075,0.05
161,,,,,,,0.025,,0.05,,,,,,,,,
168,,,0.05,0.025,,,0.025,,0.775,,,,0.025,,,,,
180,0.025,,,,,,,,,,,,,,,,,
210,,,,,,,,,0.025,4.65,3.35,3.925,1.375,1.5,,,,
216,,,,,,,,,0.025,,,,0.025,0.025,0.025,,,
228,,,,,,,,,,,,,,,,0.025,0.025,0.025
251,,,,0.025,,,0.025,,,,,,,,,,,
253,,0.025,0.05,0.05,,,,,,,0.025,0.025,,0.025,0.025,,,
275,0.025,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,0.025,,
301,,0.025,,,,,,,,,,,,,,,,
338,,0.025,,,,,,,,,,,,,,,,
384,,,,,,0.025,,,,,,,,,,,,
407,,,,,,,,,,,,0.025,,,,,,
